Iteration	Posterior	Likelihood	Prior	clado_fission_pr	clado_fusion_pr	clado_no_change_pr	clado_polyploid_pr	clado_type[1]	clado_type[2]	clado_type[3]	clado_type[4]	clado_type[5]	delta	gamma	rho
900	-60.10504	-69.53596	9.430914	0.01357414	0.04656143	0.148745	0.1403443	0.425929	0.0388694	0.133328	0.401874	0	0.03048198	0.1353273	0.1536841
910	-61.18981	-67.63044	6.440629	0.02340446	0.003606298	0.174515	0.3220395	0.33332	0.0447021	0.00688796	0.615089	0	0.02890194	0.2435301	0.1717493
920	-57.7195	-67.12013	9.400632	0.01814187	0.006078968	0.1165174	0.1729516	0.371442	0.0578338	0.0193789	0.551346	0	0.04325621	0.2311271	0.08367328
930	-60.93137	-70.0626	9.131232	0.04153305	0.003523406	0.07924599	0.04955934	0.455799	0.238885	0.0202656	0.28505	0	0.07180203	0.3443862	0.1086363
940	-56.86263	-67.76961	10.90698	0.01078673	0.00968426	0.1038793	0.07098602	0.531797	0.0552213	0.0495774	0.363404	0	0.02874526	0.1807274	0.1163027
950	-61.65737	-67.76345	6.106073	0.04952478	0.01947672	0.2534032	0.1814857	0.502893	0.0982848	0.0386527	0.360169	0	0.07260614	0.2827174	0.1419883
960	-62.04309	-68.58449	6.541399	0.03825332	0.008486603	0.1809309	0.175137	0.449174	0.0949667	0.0210686	0.43479	0	0.03900057	0.2377869	0.2780743
970	-61.2431	-67.4281	6.185003	0.04789298	0.00160312	0.38003	0.2126288	0.591804	0.0745817	0.00249647	0.331118	0	0.01742206	0.2080095	0.1257228
980	-59.29279	-66.20271	6.909916	0.01372824	0.001881916	0.2410206	0.3268861	0.413048	0.0235267	0.00322513	0.5602	0	0.01893626	0.2670765	0.05128822
990	-57.28588	-68.07991	10.79403	0.008994267	0.01622968	0.09632933	0.1392308	0.369384	0.0344893	0.0622342	0.533893	0	0.01696679	0.1957087	0.05894747
1000	-61.05188	-70.7078	9.655914	0.01854032	0.03628483	0.05489246	0.1330546	0.226107	0.0763692	0.14946	0.548064	0	0.01665241	0.3568358	0.02995774
1010	-63.01908	-70.24592	7.226831	0.02081495	0.04135011	0.2183376	0.4232565	0.310245	0.0295768	0.0587561	0.601422	0	0.0105501	0.1351286	0.03968852
1020	-62.01546	-69.36366	7.3482	0.004135949	0.06990121	0.3087213	0.1921963	0.536949	0.00719352	0.121577	0.334281	0	0.02610446	0.1107567	0.1651737
1030	-63.63602	-67.77242	4.136401	0.002042574	0.04454682	0.4252484	0.4806072	0.446481	0.00214456	0.046771	0.504604	0	0.02729783	0.1478697	0.07055688
